ID_Transaccion,Fecha,Titulo,Genero,Precio_Unitario,Cantidad,Total_Transaccion,Metodo_Pago
T-10001,2025-01-01,Blockchain y Finanzas Descentralizadas,Negocios / Técnicos,35.48,1,35.48,Tarjeta de Crédito
T-10002,2025-01-01,Cartas que Nunca Envié,Romance,16.54,2,33.08,Efectivo
T-10003,2025-01-01,El Verano que Cambió Todo,Young Adult,16.5,3,49.5,Mercado Pago
T-10004,2025-01-01,Cuando el Destino Insiste,Romance,15.68,1,15.68,Tarjeta de Débito
T-10005,2025-01-01,Tres Días para Morir,Thriller / Suspense,17.92,1,17.92,Efectivo
T-10006,2025-01-01,Pacto de Sangre y Estrellas,Fantasía / Romantasy,19.74,1,19.74,Tarjeta de Débito
T-10007,2025-01-01,La Mente Imparable,Autoayuda / Desarrollo Personal,18.65,1,18.65,Efectivo
T-10008,2025-01-01,Sombras Bajo la Luna Roja,Fantasía / Romantasy,20.12,1,20.12,Tarjeta de Crédito
T-10009,2025-01-01,Inteligencia Artificial para Directivos,Negocios / Técnicos,33.91,2,67.82,Tarjeta de Débito
T-10010,2025-01-01,La Canción del Dragón Dormido,Fantasía / Romantasy,21.22,1,21.22,Tarjeta de Crédito
T-10011,2025-01-01,La Verdad Detrás del Fuego,Thriller / Suspense,20.4,2,40.8,Tarjeta de Crédito
T-10012,2025-01-01,El Bosque de los Animales Parlantes,Infantil,14.82,1,14.82,Tarjeta de Débito
T-10013,2025-01-01,La Librería de los Sueños Compartidos,Romance,18.5,1,18.5,Transferencia
T-10014,2025-01-01,La Música en Mis Venas,Biografía / Memorias,25.14,2,50.28,Tarjeta de Crédito
T-10015,2025-01-01,Volver a Quererte en Otoño,Romance,15.55,1,15.55,Tarjeta de Débito
T-10016,2025-01-02,Biblia de Estudio Contemporánea,Religión / Espiritualidad,39.65,1,39.65,Tarjeta de Débito
T-10017,2025-01-02,Cartas que Nunca Envié,Romance,17.3,1,17.3,Transferencia
T-10018,2025-01-02,Finanzas Personales para Mortales,Autoayuda / Desarrollo Personal,21.59,1,21.59,Mercado Pago
T-10019,2025-01-02,"Nosotros, los Invisibles",Young Adult,15.2,1,15.2,Tarjeta de Crédito
T-10020,2025-01-02,Neon District: Año Cero,Manga / Novela Gráfica,15.62,2,31.24,Efectivo
T-10021,2025-01-02,Código Génesis: Protocolo IA,Ciencia Ficción,24.34,1,24.34,Tarjeta de Débito
T-10022,2025-01-02,Más Allá de las Estrellas (YA),Young Adult,18.14,2,36.28,Tarjeta de Débito
T-10023,2025-01-02,Pacto de Sangre y Estrellas,Fantasía / Romantasy,20.25,1,20.25,Efectivo
T-10024,2025-01-02,Liderazgo Silencioso,Autoayuda / Desarrollo Personal,23.98,1,23.98,Tarjeta de Débito
T-10025,2025-01-02,Pacto de Sangre y Estrellas,Fantasía / Romantasy,19.52,1,19.52,Efectivo
T-10026,2025-01-02,Máquinas que Sueñan,Ciencia Ficción,21.0,2,42.0,Tarjeta de Crédito
T-10027,2025-01-02,Mecha Warriors: Amanecer Vol. 4,Manga / Novela Gráfica,14.2,1,14.2,Tarjeta de Crédito
T-10028,2025-01-02,Horizonte Cuántico,Ciencia Ficción,21.54,2,43.08,Mercado Pago
T-10029,2025-01-02,Las Aventuras de Lila y el Gato Mágico,Infantil,13.28,2,26.56,Tarjeta de Crédito
T-10030,2025-01-03,El Testigo Silencioso,Thriller / Suspense,20.36,2,40.72,Tarjeta de Débito
T-10031,2025-01-03,Sombras Bajo la Luna Roja,Fantasía / Romantasy,19.66,1,19.66,Mercado Pago
T-10032,2025-01-03,Meditaciones del Peregrino,Religión / Espiritualidad,14.55,1,14.55,Tarjeta de Débito
T-10033,2025-01-03,Mareas de Verano,Romance,13.67,1,13.67,Transferencia
T-10034,2025-01-03,Horizonte Cuántico,Ciencia Ficción,22.01,1,22.01,Tarjeta de Débito
T-10035,2025-01-03,Estrategia Digital 360°,Negocios / Técnicos,30.82,1,30.82,Tarjeta de Débito
T-10036,2025-01-03,Neurolink: El Despertar,Ciencia Ficción,26.64,1,26.64,Efectivo
T-10037,2025-01-03,Secretos en la Niebla,Thriller / Suspense,15.56,1,15.56,Transferencia
T-10038,2025-01-03,Cartas que Nunca Envié,Romance,16.63,1,16.63,Transferencia
T-10039,2025-01-03,Cartas que Nunca Envié,Romance,17.17,1,17.17,Tarjeta de Crédito
T-10040,2025-01-03,La Chica del Último Vagón,Young Adult,13.88,1,13.88,Efectivo
T-10041,2025-01-03,Nadie Sale Inocente,Thriller / Suspense,16.57,2,33.14,Tarjeta de Débito
T-10042,2025-01-03,Mareas de Verano,Romance,13.6,1,13.6,Efectivo
T-10043,2025-01-03,Reinos de Cristal Roto,Fantasía / Romantasy,24.01,1,24.01,Efectivo
T-10044,2025-01-03,La Librería de los Sueños Compartidos,Romance,18.2,1,18.2,Transferencia
T-10045,2025-01-03,El Último Hechicero de Aldara,Fantasía / Romantasy,17.82,1,17.82,Transferencia
T-10046,2025-01-03,Sabiduría Ancestral para Hoy,Religión / Espiritualidad,17.73,1,17.73,Mercado Pago
T-10047,2025-01-04,La Habitación 217,Thriller / Suspense,18.7,1,18.7,Mercado Pago
T-10048,2025-01-04,Vida de una Activista Silenciosa,Biografía / Memorias,20.15,1,20.15,Tarjeta de Débito
T-10049,2025-01-04,La Chica del Último Vagón,Young Adult,14.32,2,28.64,Mercado Pago
T-10050,2025-01-04,El Bosque de los Animales Parlantes,Infantil,14.62,1,14.62,Mercado Pago
T-10051,2025-01-04,El Robot Amigable de Tomás,Infantil,10.67,1,10.67,Efectivo
T-10052,2025-01-04,Corte de Espinas y Sombras,Fantasía / Romantasy,22.52,1,22.52,Efectivo
T-10053,2025-01-04,Dino Rex y la Isla Misteriosa,Infantil,13.76,1,13.76,Tarjeta de Crédito
T-10054,2025-01-04,La Singularidad de Vega,Ciencia Ficción,24.34,1,24.34,Mercado Pago
T-10055,2025-01-04,Cuentos para Soñar Despierto,Infantil,12.04,1,12.04,Tarjeta de Débito
T-10056,2025-01-04,La Última Colonia de Marte,Ciencia Ficción,22.64,3,67.92,Tarjeta de Débito
T-10057,2025-01-04,Contra Todo Pronóstico: Mi Historia,Biografía / Memorias,27.2,2,54.4,Tarjeta de Débito
T-10058,2025-01-04,Utopía Fracturada,Distopía / Especulativa,16.98,1,16.98,Efectivo
T-10059,2025-01-04,Neurolink: El Despertar,Ciencia Ficción,26.22,1,26.22,Tarjeta de Crédito
T-10060,2025-01-04,Gestión Ágil de Proyectos Reales,Negocios / Técnicos,29.78,2,59.56,Tarjeta de Débito
T-10061,2025-01-04,El Último Hechicero de Aldara,Fantasía / Romantasy,18.45,1,18.45,Transferencia
T-10062,2025-01-04,Inteligencia Artificial para Directivos,Negocios / Técnicos,33.69,1,33.69,Tarjeta de Débito
T-10063,2025-01-04,Sabiduría Ancestral para Hoy,Religión / Espiritualidad,17.79,1,17.79,Efectivo
T-10064,2025-01-04,El Inventor que Cambió el Mundo,Biografía / Memorias,29.33,1,29.33,Tarjeta de Crédito
T-10065,2025-01-04,El Bosque de los Animales Parlantes,Infantil,15.43,1,15.43,Tarjeta de Débito
T-10066,2025-01-04,Meditaciones del Peregrino,Religión / Espiritualidad,15.21,1,15.21,Efectivo
T-10067,2025-01-04,Yūrei: Espíritus Errantes Vol. 1,Manga / Novela Gráfica,10.85,2,21.7,Mercado Pago
T-10068,2025-01-04,Meditaciones del Peregrino,Religión / Espiritualidad,15.36,1,15.36,Tarjeta de Débito
T-10069,2025-01-05,La Princesa que Quería Ser Astronauta,Infantil,13.15,2,26.3,Mercado Pago
T-10070,2025-01-05,Ecos del Futuro Perdido,Ciencia Ficción,19.84,1,19.84,Efectivo
T-10071,2025-01-05,Reinos de Cristal Roto,Fantasía / Romantasy,23.94,1,23.94,Tarjeta de Crédito
T-10072,2025-01-05,La República del Silencio,Distopía / Especulativa,21.37,1,21.37,Mercado Pago
T-10073,2025-01-05,El Clan de la Serpiente Dorada Vol. 2,Manga / Novela Gráfica,13.68,1,13.68,Mercado Pago
T-10074,2025-01-05,Cuando el Destino Insiste,Romance,16.11,1,16.11,Tarjeta de Crédito
T-10075,2025-01-05,Nadie Sale Inocente,Thriller / Suspense,17.03,1,17.03,Efectivo
T-10076,2025-01-05,Emprender en Latinoamérica 2025,Negocios / Técnicos,25.01,1,25.01,Mercado Pago
T-10077,2025-01-05,Ecos del Futuro Perdido,Ciencia Ficción,19.92,1,19.92,Tarjeta de Crédito
T-10078,2025-01-05,Emprender en Latinoamérica 2025,Negocios / Técnicos,25.49,1,25.49,Tarjeta de Débito
T-10079,2025-01-05,Promesas Bajo la Lluvia,Romance,17.62,1,17.62,Tarjeta de Débito
T-10080,2025-01-05,"Nosotros, los Invisibles",Young Adult,15.13,1,15.13,Transferencia
T-10081,2025-01-05,La Chica del Último Vagón,Young Adult,14.04,1,14.04,Tarjeta de Débito
T-10082,2025-01-05,El Último Beso en París,Romance,18.83,1,18.83,Tarjeta de Crédito
